Unit 2.1	abandon, abase, abash, abate, abbreviate, abdicate, aberrant, abet, abeyance, abhor
Unit 11.3	penury, perambulate, perceptible, peremptory, parochial, perfidy, perforate, perfunctory, perimeter, periodical
Unit 11.4	peripatetic, peripheral, perish, pertinent, permeable, pernicious, patchwork, perpetual, persecute, persevere
Unit 11.5	persiflage, persistence, personable, perspicacious, perspicuity, pertain, pertinacious, pertinent, penance, peruse
Unit 11.6	pervade, pessimistic, petition, petrify, petty, phenomenal, philanthropic, philistine, phlegmatic, piddling
Unit 11.7	piebald, pigment, pilfer, precocious, pillory, pilot, pine, pinnacle, pinpoint, piquant
Unit 11.8	pique, pirate, pithy, pitiless, pittance, placate, placebo, plagiarize, plangent, plastic
Unit 11.9	plateau, platitude, plausible, plague, poignant, plethora, pliable, pliant, plight, plodding
Unit 11.10	pluck, plumb, plummet, plump, plunge, polarize, polemic, polished, politic, pompous
Unit 12.1	ponderable, ponderous, pontificate, pore, porous, portentous, poser, posit, postulate, posture
Unit 12.2	potable, potentate, potentiate, pout, practitioner, premium, prate, preach, precarious, precedent
Unit 12.3	ploy, precipitate, precipitation, precipitous, preclude, precursor, predecessor, predilection, preeminent, preempt
Unit 12.4	preen, preface, pregnant, premeditate, preoccupation, preponderant, prepossessing, preposterous, presage, prescience
Unit 12.5	prescription, primitive, prestige, presumptuous, pretence, preternatural, prognosis, prevalent, prevaricate, primordial
Unit 12.6	primp, peddle, pristine, privation, probe, probity, proclivity, procrastinate, procure, prod
Unit 12.7	prodigal, prodigious, profane, proffer, proficient, profligate, pushover, profusion, prohibitive, proliferate
Unit 12.8	prolix, prologue, prolong, promulgate, proofread, propagate, propensity, prophetic, propitiate, propitious
Unit 12.9	proponent, propriety, prosaic, proscribe, prosecution, proselytize, prospect, prosperous, prostrate, protean
Unit 12.10	protocol, protract, protrude, protuberant, provident, providential, provincial, provisional, provisory, provoke
Unit 13.1	amorphous, anodyne, anarchist, anathema, ancillary, anecdote, anemic, anaesthetic, animate, animus
Unit 13.2	annoy, annul, anomalous, anonymous, antagonize, antediluvian, anterior, antic, apathy, aphorism
Unit 13.3	apocalyptic, apocryphal, apoplectic, apostasy, appall, appeal, appealing, applause, apposite, appreciable
Unit 13.4	apprehension, apprise, approbation, appropriate, apropos, apt, archaic, archetype, ardor, arduous
Unit 13.5	anthropogenic, arrest, arresting, arrhythmic, arrogance, articulate, ascendant, ascetic, aseptic, askew
Unit 13.6	aspect, asperity, aspersion, aspirant, assent, assert, assertive, assess, assiduous, assuage
Unit 13.7	astounding, astute, asunder, asylum, asymmetrical, atone, atrocious, attenuate, audacious, augur
Unit 13.8	authentic, authority, autocracy, autonomy, avarice, aver, averse, avid, awash, awe
Unit 13.9	awkward, avant-garde, awry, axiomatic, babble, backhanded, badger, badinage, bait, bale
Unit 13.10	baleful, balk, balky, balderdash, balloon, balm, banal, bane, banish, banter
Unit 14.1	prowess, prowl, prude, prudent, prudish, prune, pry, pseudonym, putative, pecuniary
Unit 14.2	puckish, puerile, puissance, pulchritude, pulverize, permeate, punctilious, pundit, pungent, puny
Unit 14.3	purport, purlieu, purloin, purvey, pusillanimous, quack, quaff, quail, qualify, quandary
Unit 14.4	quarantine, qualm, quash, quirky, quell, quench, querulous, quibble, quiescent, quixotic
Unit 14.5	quota, quotidian, rabble, rabid, racy, raffish, recapitulate, rage, ragged, rail
Unit 14.6	rakish, ramble, rambunctious, ramshackle, rancor, random, rankle, rant, rapacious, rapport
Unit 14.7	rapprochement, rapscallion, rapt, rarefy, rash, raspy, ratify, ratiocination, ration, rational
Unit 14.8	rave, ravel, ravish, raze, row, reactionary, ream, ramification, reassure, rebuff
Unit 14.9	recalcitrant, recant, recessive, recidivate, reciprocate, reckless, recluse, recoil, reconcile, recondite
Unit 14.10	reconnoiter, reconstitute, repentant, rectitude, recumbent, recuperate, redolent, redoubtable, redundant, reel
Unit 15.1	referee, refine, reflect, refractory, refulgent, refute, regenerate, regimen, regress, rehabilitate
Unit 15.2	rehearsal, reign, rein, reiterate, rejoice, relapse, rehash, relentless, relevant, reminiscent
Unit 15.3	relinquish, relish, reluctant, remiss, resent, remonstrance, remorse, remunerate, rend, renegade
Unit 15.4	renounce, renovate, repartee, repatriate, repeal, repel, repertoire, repine, replete, repose
Unit 15.5	reprehend, repress, reprieve, reproach, reprobate, reproof, reprove, repudiate, repugnant, repulse
Unit 15.6	repute, requite, requisite, rescind, reserved, residue, resign, resilience, resolute, resonant
Unit 15.7	resourceful, respite, retroactive, resplendent, responsive, restive, restless, revelation, resurgence, resuscitate
Unit 15.8	retainer, retaliate, retard, repetitious, reticent, retort, retouch, retract, retrench, retribution
Unit 15.9	retrograde, retrospective, revel, revenge, revere, resonate, revive, revoke, revolt, ribald
Unit 15.10	rickety, restorative, ridicule, rife, rift, rile, ripen, riot, rite, rive
Unit 16.1	riveting, renaissance, robust, roil, rosy, rookie, rote, rationale, rouse, royalty
Unit 16.2	rubicund, rudimentary, rue, ruffle, ruminate, rumple, revision, runic, rupture, ruse
Unit 16.3	rustic, rustle, sabotage, saccharine, sacrilege, saddle, safeguard, sage, salient, salubrious
Unit 16.4	salutary, salutation, salvage, salve, sanctify, sanctimonious, sanction, sanctuary, showcase, sanguine
Unit 16.5	sanitary, sap, sapient, sarcasm, sartorial, sate, satiate, scandalous, satirize, saturate
Unit 16.6	saturnine, saunter, savant, savory, savvy, scads, scant, scathing, schism, scintillate
Unit 16.7	seditious, scission, scoff, scorch, scorn, scotch, scour, scowl, scrappy, scrap
Unit 16.8	scrawl, scribble, scrupulous, scrutable, scrutinize, scuff, scurrilous, scurvy, seamy, secluded
Unit 16.9	secrete, sedate, sedentary, seduce, sedulous, seemly, segment, self-abasement, self-absorbed, seminal
Unit 16.10	sensation, sift, showmanship, sepulchral, septic, sequela, sequester, sere, serendipity, serene
Unit 17.1	sermon, serpentine, self-defeating, serried, servile, shifty, shackle, shadow, stale, sham
Unit 17.2	shiftless, shipshape, shirk, shoal, shopworn, shred, shrewd, shrink, shroud, shrug
Unit 17.3	shun, sidestep, signal, simpleton, simulate, self-perpetuating, sensuality, sinecure, sinew, singe
Unit 17.4	sinuous, snag, sacrosanct, scourge, skimp, scruple, skirt, slack, slake, slant
Unit 17.5	slate, slew, slight, sling, slippery, slipshod, sloppy, sloth, slouch, slovenly
Unit 17.6	sluggard, sluggish, slumber, slur, sly, smarmy, skulduggery, smattering, smirk, smother
Unit 17.7	smug, smuggling, snare, snarl, sneer, snobbish, snub, soak, sober, sodden
Unit 17.8	solace, solder, solemnity, solicitous, solid, soliloquy, solitude, solvent, somatic, somber
Unit 17.9	somnolence, slapdash, soothe, sop, sophism, sophisticated, soporific, sordid, sound, sparse
Unit 17.10	spartan, spat, spate, sleek, specious, speck, spectator, spectrum, speculate, spendthrift
Unit 18.1	spent, slump, spiny, spleen, splice, spontaneous, spoof, sporadic, sprawl, sprightly
Unit 18.2	spur, spurious, spurn, sanity, squalid, squall, squander, squat, soft-pedal, squelch
Unit 18.3	secede, stalwart, stamina, stammer, startle, static, stature, steadfast, stealth, steep
Unit 18.4	stench, stentorian, sterile, stickler, stiff, stifle, stigma, stint, stingy, sequel
Unit 18.5	stipulate, stitch, stock, sectarian, stodgy, stoke, stoic, stolid, stomach, stonewall
Unit 18.6	stouthearted, stratagem, sonorous, strand, stratify, stray, strenuous, striate, stricture, soothsayer
Unit 18.7	strident, strike, stringent, strip, strut, spike, stultify, stupor, stunt, sturdy
Unit 18.8	stygian, stymie, subdue, subject, subjugate, sublime, subliminal, submerge, submissive, subordinate
Unit 18.9	subservient, subside, subsidiary, subsidy, substantial, substantiate, substantive, subterfuge, subtle, subvert
Unit 18.10	succinct, succor, suffocate, suffuse, sulk, sullen, secular, summit, summon, sumptuous
Unit 19.1	sunder, supercilious, superficial, superfluous, stagnant, supine, supple, supplant, supplement, supplicate
Unit 19.2	supposition, suppress, surcharge, surfeit, surrender, surreptitious, susceptible, suspend, suture, svelte
Unit 19.3	swagger, swear, sweltering, swerve, sterling, swindle, sybarite, sycophant, syllabus, syllogism
Unit 19.4	symbiosis, symmetry, synchronous, synergic, synonymous, synopsis, synthesis, tacit, taciturn, tackle
Unit 19.5	tact, tactile, tactless, tilt, taint, tamper, tangent, tangible, tangy, tantalize
Unit 19.6	tantamount, tantrum, taper, tardy, tarnish, tasty, tatty, taunt, taut, tawdry
Unit 19.7	taxing, tedious, teeter, teetotalism, telling, temerity, temporize, temperate, tempestuous, tenable
Unit 19.8	tenacious, tendentious, tender, tenuous, tepid, terminology, terminus, traumatic, terse, testimony
Unit 19.9	testy, tether, theatrical, therapeutic, thorny, threadbare, throng, thwart, ticklish, tiff
Unit 19.10	tightfisted, timeworn, timid, timorous, tinge, tinker, truism, tirade, toady, tonic
Unit 20.1	topsy-turvy, torpid, torpor, torrential, torrid, tortuous, tout, toy, tractable, tranquility
Unit 20.2	transcend, transfigure, transgress, transient, transitory, translucent, transparent, travail, traverse, travesty
Unit 20.3	treacherous, trenchant, trepidation, trespass, tribute, trickle, trite, trivial, truant, truce
Unit 20.4	truculent, trudge, trumpet, truncate, tremendous, tumult, turbid, turbulent, turgid, turmoil
Unit 20.5	turncoat, turpitude, trope, typo, tyro, ubiquitous, unassailable, uncanny, uncouth, unctuous
Unit 20.6	upbeat, undergird, usher, underscore, understate, undue, unexceptionable, unflappable, ungainly, unimpeachable
Unit 20.7	unkempt, unlettered, unpretentious, unflagging, unsung, unruly, untenable, untold, untoward, unwitting
Unit 20.8	unwonted, upbraid, uphold, urbane, usurp, univocal, vaccinate, vacillate, vacuous, vagary
Unit 20.9	vague, valediction, valiant, versed, vanquish, vapid, vaporize, variance, variegated, varnish
Unit 20.10	valorize, vaunt, veer, vehement, venal, vendor, veneer, venerate, venial, venom
Unit 21.1	veracious, verbatim, verbose, verdant, verify, verisimilar, vile, vernacular, versatile, verse
Unit 21.2	vertigo, verve, venue, vestige, vocation, veteran, veto, vex, viable, vicarious
Unit 21.3	vicious, vicissitude, victimize, vigilant, vignette, vigorous, vilify, vim, vindicate, vindictive
Unit 21.4	virtuoso, virtuous, virulent, viscid, viscous, visionary, vitality, vitiate, vitriolic, vituperate
Unit 21.5	vivacious, vociferous, volatile, volition, voluble, voluminous, voluptuous, voracious, votary, vouch
Unit 21.6	vulgar, vulnerable, waddle, waffle, waft, wag, wan, warble, wane, wanting
Unit 21.7	warmonger, warp, warrant, wary, wastrel, watershed, wax, waylay, welter, wheedle
Unit 21.8	whet, winnow, whimsical, wholesome, wicked, wince, windbag, windy, winsome, wit
Unit 21.9	withdraw, wither, withhold, wizen, wobble, worldly, windfall, wrangle, wretched, wry
Unit 21.10	xenophobe, yoke, yokel, zeal, zealot, zenith, zesty
Unit 22.1	abreast, appurtenance, acclaim, apostle, accord, accustom, acquire, acquisitive, adjudicate, adversity
Unit 22.2	affectation, affirm, affix, affliction, agape, agility, agonize, agreeable, alienate, alloy
Unit 22.3	ambivalent, anachronism, analogous, annex, annotate, antedate, antipathy, antiquated, antithetical, apparition
Unit 22.4	applicable, apprehensive, arable, arbitrary, arcane, argument, arid, array, assail, atrophy
Unit 22.5	attest, attune, august, auspicious, austere, automatic, avowal, backfire, backslide, baffle
Unit 22.6	bohemian, bash, beholden, behoove, beige, bureaucratic, belligerent, beset, bewitching, blackmail
Unit 22.7	bluff, bogus, bore, brandish, brim, bumble, bustle, calamity, calculated, canny
Unit 22.8	canonize, captious, careen, carefree, cascade, cellular, ceremonious, certitude, channel, chaperone
Unit 22.9	charisma, cherished, chivalrous, chorale, clamor, clan, cleave, cling, coarse, cohesive
Unit 22.10	commiserate, compatible, compelling, complacent, complementary, complicate, comprehend, concrete, condemn, conditional
Unit 23.1	conflagration, conflate, conform, conjure, consent, consign, consternation, contemplate, contempt, contend
Unit 23.2	contradict, contrived, convene, correlate, counterpart, counterproductive, courteous, coy, credit, crow
Unit 23.3	damn, dampen, dashing, dated, deadlock, debonair, decadent, decry, deflect, defray
Unit 23.4	deign, delegate, delineate, demote, dependable, deplorable, dichotomy, dictate, discreet, disenchant
Unit 23.5	dishearten, disjunctive, disprove, distinctive, doctrinaire, domineer, drab, dramatic, dread, duplicate
Unit 23.6	eclectic, efficacious, elude, enamored, endeavor, enthrall, equilibrium, escort, ethos, exorcise
Unit 23.7	explicate, exterminate, extrapolate, fabulous, fad, fallible, fanciful, favoritism, featureless, feisty
Unit 23.8	felony, ferocious, fervent, figment, fitful, fleeting, forage, forebode, foreground, forfeit
Unit 23.9	forsake, frosty, gawky, germinate, glacial, glide, glower, graft, grift, groggy
Unit 23.10	grudge, grumble, halfhearted, heckle, hierarchical, hobble, humdrum, humiliate, hypothetical, idiosyncrasy
Unit 24.1	barb, barbarous, barefaced, bargain, baroque, barrage, barren, barricade, barter, beguile
Unit 24.2	bathetic, befuddle, bedeck, belabor, beleaguer, belie, bellwether, beneficent, benign, berate
Unit 24.3	beseech, besmirch, bifurcate, bigot, bland, blandishment, blase, blast, blatant, blazon
Unit 24.4	blemish, blight, bliss, blithe, blueprint, blunder, blunt, blur, blurt, bluster
Unit 24.5	boggle, boisterous, bolster, bombast, bonhomie, boo, boon, boorish, bootless, bound
Unit 24.6	boycott, bracing, brake, brash, brassy, bravado, bravura, brazen, breach, brevity
Unit 24.7	bribe, bridle, brisk, bristle, brittle, broach, bromide, brook, browbeat, bruit
Unit 24.8	buck, budge, bulge, bully, bumptious, bungle, buoy, buoyant, burgeon, burlesque
Unit 24.9	burnish, buttress, byzantine, cache, cachet, cacophony, cavalier, cajole, calcify, calibrate
Unit 24.10	calligraphy, callous, callow, calumniate, camaraderie, catharsis, camouflage, canard, candor, canon
Unit 25.1	idle, ill-bred, illustrious, imperishable, implicit, impunity, incentive, incumbent, indecorous, infraction
Unit 25.2	justify, lag, lance, lax, license, lionize, ludicrous, luminous, lurid, machination
Unit 25.3	madcap, magnitude, malevolent, malignant, maneuvre, marginal, meditate, menial, meretricious, milieu
Unit 25.4	misapprehension, monarch, monopolize, nirvana, nostalgia, notoriety, nourish, novice, nullification, numb
Unit 25.5	oaf, observant, obsolete, onset, ordeal, ostensible, outgrowth, outmoded, override, overshadow
Unit 25.6	overwhelm, overwrought, palaver, palpitation, panacea, peculiarity, pedagogical, peel, perceptive, perilous
Unit 25.7	perquisite, petulant, pioneer, pious, pitfall, pivotal, placid, playful, plebeian, plush
Unit 25.8	poach, pointer, pragmatic, premeditate, prerequisite, prerogative, proclaim, project, proprietary, prototype
Unit 25.9	rampant, ravenous, redeem, refreshing, remnant, renege, replenish, replicate, residual, restitution
Unit 25.10	resurrect, retentive, retrieve, reverberate, rhetorical, rigmarole, ruthless, screen, scrimp, sectarianism
Unit 26.1	secular, simile, skittish, sparing, splutter, squeamish, staunch, stereotype, stigmatize, substitute
Unit 26.2	succumb, supersede, surly, surmise, surmount, surpass, surrogate, surveillance, tame, tangle
Unit 26.3	teeming, temporal, tentative, thick-skinned, thrill, timely, trifling, tycoon, tyrant, umbrage
Unit 26.4	unanimous, unavailing, unremitting, vouchsafe, wayward, weather, wilful, willy-nilly, wilt, wily
Unit 26.5	wiretap, wistful, wrest, wrongheaded
Unit 27.1	canvass, capitulate, caprice, captivate, careworn, cardinal, caricature, carnal, carouse, carp
Unit 27.2	cliquish, cast, castigate, catalyze, catastrophe, categorical, catholic, caustic, caveat, cavil
Unit 27.3	cataclysmal, cede, cement, censor, concomitant, censure, chic, cessation, chaff, chagrin
Unit 27.4	chameleon, champion, compulsive, chimera, charlatan, chary, chase, chasm, chauvinistic, check
Unit 27.5	cherubic, chicanery, chide, choleric, chord, chromatic, chronic, churlish, cipher, circuitous
Unit 27.6	circumlocution, circumscribe, circumspect, circumvent, civility, chokehold, clandestine, clarion, clarity, clasp
Unit 27.7	clement, cliche, clog, clot, cordial, clout, cloying, clumsy, coagulate, coalesce
Unit 27.8	coax, coda, coerce, coeval, cogent, cognizant, collapse, collude, colossal, coltish
Unit 27.9	coma, combustible, cluster, comity, commencement, commend, commensurate, commingle, commitment, committed
Unit 27.10	commodious, commonsensical, commotion, compendium, complacency, complaisance, compliant, compliment, clownish, compose
Unit 28.1	compound, compress, compromise, compunction, concatenate, concoct, conceal, concede, concentrate, concerted
Unit 28.2	conciliate, commonplace, concord, concur, condescending, condign, condole, condone, conducive, cantankerous
Unit 28.3	confine, confluence, confront, confound, congeal, congenial, congruent, conjecture, connive, connoisseur
Unit 28.4	conscientious, consensus, consequence, conservative, conservatory, consilience, considerable, console, consolidate, consonant
Unit 28.5	conspicuous, conspire, constitute, constrain, constringe, construct, consummate, contagious, contaminate, content
Unit 28.6	contentious, contiguous, contort, contract, contravene, contrite, contumacious, conundrum, convalesce, cloak
Unit 28.7	convention, converge, conversant, convert, consort, cagey, conviction, convoke, convoluted, convulsion
Unit 28.8	coop, copious, coquette, countervail, cornucopia, coronation, corporeal, corroborate, corrosive, corrugated
Unit 28.9	cosmopolitan, cosset, countenance, counterfeit, countermand, court, covert, covetous, cow, cowardice
Unit 28.10	cower, cozen, cramped, crass, crave, craven, contingency, credence, credulous, caterwaul
Unit 29.1	creep, crescendo, crest, crestfallen, cronyism, crook, croon, culminate, crucial, crumple
Unit 29.2	crutch, crux, cryptic, culpable, cultivate, cumbersome, cunning, curmudgeon, cursory, curt
Unit 29.3	curtail, cynic, dabble, daft, dazzling, dally, damper, dandy, dank, dapper
Unit 29.4	dappled, daredevil, dart, daunt, dawdle, deadpan, dearth, debacle, debark, debase
Unit 29.5	debilitate, debris, debunk, debut, decadence, detest, decipher, decode, decorous, decrepit
Unit 29.6	default, defer, document, deficiency, devious, deft, defuse, defy, dehydrate, deify
Unit 29.7	deject, deleterious, deliberate, delicacy, delirium, delusion, deluge, delve, demagogue, demanding
Unit 29.8	demolition, demonstrate, demoralize, demotic, demur, denigrate, disingenuous, denounce, dent, denude
Unit 29.9	deplete, deplore, deploy, deportation, depose, deposit, depravity, deprecate, depreciate, depressed
Unit 29.10	deprivation, deracinate, derelict, deride, derivative, descend, divination, desecrate, desiccate, designate
Unit 30.1	despicable, despise, despotic, desultory, detach, detain, deter, deterioration, detour, detract
Unit 30.2	detritus, devoted, devout, dexterous, diabolic, diaphanous, diatribe, didactic, diehard, dovish
Unit 30.3	diffuse, digress, dilapidate, dilate, dilatory, dilettante, diligent, dilute, diminish, disquisition
Unit 30.4	dingy, diocesan, diplomatic, dire, demography, disabuse, disaffected, disarm, disarray, disavow
Unit 30.5	discern, discharge, disciple, discombobulate, discomfit, discommode, discompose, disconcert, discord, discredit
